CGPA,Internships,Placed,Salary (INR LPA),Placed_num
7.91,2,No,0.0,0
7.58,1,Yes,14.11,1
8.27,3,Yes,26.59,1
6.94,1,Yes,20.22,1
7.24,3,No,0.0,0
7.19,1,Yes,25.51,1
6.33,4,No,0.0,0
7.74,4,No,0.0,0
7.71,4,Yes,16.48,1
7.5,0,No,0.0,0
7.31,3,Yes,17.45,1
6.37,4,No,0.0,0
7.16,0,Yes,6.9,1
7.23,3,No,0.0,0
6.86,1,Yes,24.17,1
7.37,0,Yes,14.32,1
7.82,2,Yes,16.5,1
9.01,0,Yes,24.2,1
7.64,0,Yes,19.17,1
7.71,3,Yes,8.43,1
7.44,1,Yes,18.94,1
5.96,2,Yes,14.01,1
7.48,4,No,0.0,0
7.55,4,Yes,15.68,1
9.47,0,Yes,3.76,1
7.35,3,Yes,8.67,1
7.74,3,Yes,10.59,1
7.47,4,No,0.0,0
6.57,2,Yes,22.25,1
8.41,1,No,0.0,0
8.1,2,No,0.0,0
8.13,1,No,0.0,0
6.77,4,Yes,3.31,1
8.62,1,No,0.0,0
6.38,3,No,0.0,0
7.97,0,Yes,14.04,1
9.25,0,Yes,27.95,1
6.71,4,Yes,6.02,1
7.05,3,Yes,16.94,1
7.58,2,Yes,24.24,1
7.1,3,Yes,28.45,1
6.26,0,Yes,23.16,1
7.55,0,Yes,22.46,1
6.65,3,Yes,25.32,1
7.88,3,Yes,15.05,1
6.76,0,Yes,24.76,1
8.74,2,Yes,3.22,1
6.87,4,Yes,27.96,1
7.24,4,No,0.0,0
8.15,3,Yes,14.97,1
6.52,4,Yes,17.94,1
7.68,0,No,0.0,0
8.55,0,Yes,9.88,1
6.21,3,Yes,23.05,1
7.65,3,No,0.0,0
7.71,3,No,0.0,0
8.13,2,Yes,5.07,1
6.51,4,Yes,26.56,1
6.44,3,No,0.0,0
7.92,1,Yes,25.36,1
7.74,1,Yes,8.83,1
7.7,0,No,0.0,0
7.78,4,Yes,24.85,1
6.96,3,Yes,24.23,1
7.69,1,Yes,20.07,1
7.73,4,No,0.0,0
6.93,0,Yes,13.09,1
8.99,2,Yes,10.33,1
7.88,4,Yes,9.26,1
6.55,4,Yes,11.6,1
8.03,2,Yes,27.4,1
6.72,4,No,0.0,0
8.13,0,Yes,5.1,1
8.43,0,Yes,25.38,1
6.84,2,No,0.0,0
8.27,3,Yes,12.42,1
7.83,1,No,0.0,0
8.16,3,Yes,17.08,1
9.02,4,Yes,24.45,1
7.3,1,Yes,26.88,1
6.9,2,No,0.0,0
6.79,2,Yes,12.31,1
6.85,1,Yes,15.47,1
7.44,0,Yes,14.19,1
7.77,1,Yes,3.36,1
7.72,4,Yes,10.99,1
8.16,0,No,0.0,0
7.51,2,Yes,15.4,1
8.66,1,No,0.0,0
7.29,3,Yes,14.1,1
9.68,3,Yes,22.49,1
8.0,4,Yes,13.39,1
6.81,3,Yes,16.21,1
6.64,1,No,0.0,0
7.89,1,No,0.0,0
7.32,3,Yes,14.6,1
8.07,1,Yes,23.0,1
7.88,4,Yes,26.3,1
7.44,0,No,0.0,0
6.82,4,Yes,17.36,1
6.29,4,Yes,24.31,1
7.14,1,No,0.0,0
8.19,0,Yes,11.01,1
7.67,1,Yes,17.62,1
6.5,2,Yes,12.32,1
7.64,1,No,0.0,0
7.81,1,Yes,14.18,1
6.79,1,Yes,22.78,1
7.62,0,Yes,26.8,1
7.55,1,Yes,6.28,1
6.59,0,Yes,20.14,1
7.79,3,Yes,18.72,1
7.95,2,Yes,6.2,1
8.37,0,Yes,8.72,1
8.34,3,Yes,11.4,1
6.4,0,Yes,7.51,1
6.75,0,No,0.0,0
7.91,2,Yes,9.58,1
7.91,4,No,0.0,0
7.91,4,No,0.0,0
10.58,0,Yes,10.23,1
7.96,1,Yes,12.06,1
8.41,3,Yes,23.23,1
8.26,1,Yes,18.44,1
8.02,1,Yes,29.63,1
7.25,0,Yes,14.2,1
8.11,0,Yes,23.35,1
6.88,0,No,0.0,0
7.31,0,Yes,26.53,1
7.11,4,No,0.0,0
7.57,0,Yes,21.33,1
9.35,4,No,0.0,0
6.01,4,Yes,14.12,1
8.05,0,Yes,23.35,1
6.21,2,Yes,8.5,1
7.12,3,Yes,11.84,1
8.37,1,Yes,17.76,1
7.55,4,No,0.0,0
6.64,3,Yes,18.54,1
6.93,2,Yes,3.6,1
8.04,1,No,0.0,0
6.92,1,No,0.0,0
7.67,4,Yes,28.52,1
7.54,0,Yes,21.81,1
6.98,2,Yes,16.38,1
9.22,4,Yes,28.19,1
8.01,2,No,0.0,0
5.88,0,No,0.0,0
7.65,0,No,0.0,0
6.97,4,No,0.0,0
8.18,0,Yes,14.86,1
6.87,3,No,0.0,0
7.41,1,No,0.0,0
7.9,4,Yes,29.47,1
8.19,2,No,0.0,0
6.54,3,Yes,16.83,1
7.23,4,Yes,6.09,1
7.12,0,No,0.0,0
6.98,0,Yes,23.65,1
8.91,0,Yes,21.33,1
7.82,0,Yes,23.87,1
6.49,2,Yes,28.69,1
8.23,3,No,0.0,0
9.2,1,Yes,23.97,1
8.33,2,Yes,19.51,1
6.28,2,No,0.0,0
7.11,1,Yes,26.15,1
8.51,1,Yes,21.18,1
6.93,0,Yes,14.02,1
7.86,2,No,0.0,0
8.12,4,Yes,26.91,1
6.76,1,Yes,8.99,1
7.45,1,Yes,22.3,1
4.91,3,Yes,26.8,1
6.68,4,Yes,22.75,1
7.3,4,Yes,21.83,1
6.5,1,Yes,23.32,1
8.81,0,No,0.0,0
6.36,3,Yes,15.56,1
7.15,4,No,0.0,0
7.6,1,No,0.0,0
8.65,4,No,0.0,0
6.35,3,Yes,26.6,1
8.43,3,Yes,8.49,1
7.51,2,Yes,6.44,1
6.71,1,Yes,10.71,1
7.87,3,Yes,17.35,1
7.66,2,No,0.0,0
7.02,2,No,0.0,0
7.56,4,Yes,16.79,1
7.19,4,Yes,25.16,1
7.59,2,No,0.0,0
8.03,4,Yes,13.92,1
8.77,3,Yes,16.08,1
6.51,0,No,0.0,0
9.21,3,Yes,3.36,1
5.94,2,Yes,14.06,1
7.38,2,Yes,20.49,1
7.97,3,No,0.0,0
7.72,4,Yes,3.42,1
7.0,4,Yes,10.58,1
7.33,2,Yes,8.61,1
7.11,1,Yes,4.13,1
7.03,4,Yes,15.94,1
8.18,3,No,0.0,0
7.79,4,Yes,7.91,1
6.95,3,No,0.0,0
8.22,2,Yes,23.06,1
7.75,4,Yes,25.89,1
8.15,3,Yes,17.73,1
8.0,2,Yes,29.51,1
6.84,1,Yes,15.16,1
7.05,3,Yes,16.86,1
8.1,1,Yes,29.71,1
7.99,1,Yes,9.25,1
7.48,0,Yes,28.45,1
7.59,4,No,0.0,0
8.52,3,No,0.0,0
7.03,1,Yes,4.16,1
7.94,0,Yes,15.05,1
7.34,2,Yes,4.89,1
7.33,3,Yes,22.69,1
8.38,1,Yes,19.43,1
8.16,4,No,0.0,0
8.15,0,Yes,22.08,1
8.54,1,Yes,13.11,1
7.52,4,No,0.0,0
8.05,1,Yes,12.98,1
7.25,3,No,0.0,0
7.76,3,Yes,4.22,1
7.4,3,Yes,12.45,1
7.58,0,Yes,28.09,1
7.98,3,Yes,13.24,1
6.85,4,No,0.0,0
9.17,1,Yes,25.45,1
6.7,2,No,0.0,0
6.53,4,Yes,25.74,1
8.43,4,Yes,13.08,1
8.13,3,Yes,20.06,1
8.0,0,Yes,5.58,1
8.0,1,No,0.0,0
7.49,0,Yes,5.8,1
6.78,1,Yes,4.31,1
7.56,1,Yes,18.69,1
6.96,0,Yes,14.5,1
8.28,4,Yes,17.8,1
7.38,1,Yes,17.07,1
6.84,0,No,0.0,0
7.24,1,Yes,12.46,1
7.83,2,Yes,21.29,1
7.05,4,Yes,23.48,1
6.84,3,Yes,3.39,1
7.69,1,No,0.0,0
7.7,2,Yes,8.6,1
7.09,3,Yes,22.26,1
7.12,3,Yes,13.44,1
7.69,1,Yes,20.89,1
6.34,0,Yes,12.37,1
6.37,1,No,0.0,0
6.93,2,No,0.0,0
7.33,3,No,0.0,0
7.75,1,Yes,13.55,1
8.68,0,Yes,7.28,1
8.19,1,Yes,9.97,1
7.37,4,Yes,19.35,1
7.48,0,No,0.0,0
6.7,2,Yes,14.7,1
7.49,3,No,0.0,0
7.27,1,No,0.0,0
7.76,0,Yes,23.91,1
6.84,4,Yes,26.02,1
7.92,0,Yes,17.62,1
8.73,4,Yes,23.47,1
7.41,2,No,0.0,0
7.82,3,Yes,11.29,1
8.05,2,Yes,14.2,1
7.18,1,Yes,22.24,1
7.68,0,No,0.0,0
7.51,4,Yes,13.43,1
7.58,4,No,0.0,0
6.88,0,Yes,18.89,1
7.52,0,No,0.0,0
7.9,1,No,0.0,0
8.66,2,Yes,8.01,1
8.27,4,Yes,19.19,1
9.22,1,No,0.0,0
6.89,2,Yes,26.26,1
8.2,1,No,0.0,0
7.65,4,Yes,26.45,1
9.25,0,No,0.0,0
6.85,0,No,0.0,0
6.83,2,No,0.0,0
7.02,3,Yes,22.56,1
5.8,2,Yes,23.14,1
7.08,3,Yes,18.06,1
6.89,1,Yes,18.79,1
7.62,1,Yes,6.61,1
7.77,4,Yes,14.98,1
9.0,3,No,0.0,0
8.26,4,Yes,15.17,1
7.04,0,Yes,28.88,1
6.78,3,Yes,14.64,1
7.89,2,Yes,17.83,1
6.44,0,Yes,17.4,1
8.97,0,No,0.0,0
8.44,2,No,0.0,0
7.12,0,Yes,20.19,1
6.13,3,Yes,23.2,1
8.58,4,No,0.0,0
7.41,0,Yes,9.08,1
8.49,3,Yes,17.28,1
6.22,1,Yes,25.3,1
7.02,3,Yes,15.5,1
7.5,4,Yes,10.52,1
7.54,3,Yes,20.68,1
7.14,2,Yes,25.24,1
8.0,4,No,0.0,0
6.65,1,Yes,4.7,1
7.39,2,No,0.0,0
7.6,3,No,0.0,0
7.91,4,Yes,23.97,1
8.07,1,Yes,25.18,1
6.6,2,Yes,15.46,1
6.27,1,Yes,29.55,1
8.52,3,No,0.0,0
7.77,1,Yes,24.24,1
6.9,0,No,0.0,0
8.74,2,Yes,23.89,1
7.59,1,Yes,23.19,1
8.44,3,Yes,7.07,1
7.55,3,Yes,8.87,1
9.15,1,Yes,15.53,1
8.9,3,Yes,10.13,1
7.3,4,Yes,14.21,1
8.28,4,Yes,26.99,1
8.02,4,No,0.0,0
8.59,0,Yes,25.26,1
6.73,1,No,0.0,0
8.05,0,No,0.0,0
8.35,3,No,0.0,0
6.09,0,Yes,20.01,1
6.55,3,No,0.0,0
5.87,3,Yes,26.17,1
7.28,2,Yes,24.16,1
8.07,4,Yes,14.58,1
8.7,3,No,0.0,0
7.56,2,Yes,8.43,1
8.8,4,No,0.0,0
6.4,3,Yes,16.88,1
6.14,3,No,0.0,0
7.46,0,No,0.0,0
7.81,0,Yes,22.88,1
7.47,4,No,0.0,0
5.85,3,Yes,14.78,1
7.43,1,Yes,21.0,1
6.46,0,Yes,5.55,1
8.04,4,Yes,23.2,1
7.79,3,Yes,24.94,1
6.75,3,Yes,22.08,1
7.09,1,Yes,29.12,1
6.65,4,No,0.0,0
7.45,3,No,0.0,0
8.26,0,No,0.0,0
6.71,1,No,0.0,0
7.9,4,No,0.0,0
7.08,1,Yes,25.32,1
6.87,0,Yes,27.38,1
7.41,4,No,0.0,0
6.67,1,Yes,28.21,1
7.06,2,Yes,24.64,1
6.54,0,Yes,21.2,1
9.07,0,Yes,3.15,1
7.53,0,Yes,15.58,1
6.94,2,Yes,18.42,1
7.67,2,Yes,11.21,1
7.41,3,Yes,11.59,1
7.32,1,Yes,28.95,1
7.99,3,Yes,27.08,1
8.11,1,No,0.0,0
7.08,2,Yes,25.93,1
7.04,2,Yes,13.96,1
7.28,3,No,0.0,0
5.66,4,Yes,3.37,1
6.29,3,Yes,5.17,1
8.59,1,Yes,11.43,1
8.82,3,No,0.0,0
7.3,0,Yes,3.43,1
7.96,1,Yes,3.46,1
7.75,1,No,0.0,0
9.96,4,Yes,27.75,1
8.4,2,Yes,22.07,1
7.4,1,Yes,11.34,1
6.74,2,Yes,6.58,1
6.21,3,Yes,16.81,1
7.66,0,Yes,3.14,1
6.89,4,No,0.0,0
6.36,2,Yes,28.34,1
6.98,1,Yes,14.2,1
6.63,2,Yes,13.86,1
8.85,1,Yes,13.55,1
8.21,2,Yes,4.87,1
7.49,1,No,0.0,0
8.68,3,Yes,20.23,1
7.56,1,No,0.0,0
6.81,1,No,0.0,0
8.72,0,Yes,22.79,1
7.93,1,No,0.0,0
6.67,0,Yes,21.26,1
7.35,4,Yes,6.74,1
6.8,0,Yes,18.63,1
6.39,3,Yes,18.38,1
8.24,0,Yes,26.45,1
9.03,4,Yes,13.24,1
6.38,3,Yes,13.03,1
7.95,2,Yes,19.7,1
6.98,2,Yes,20.09,1
7.11,0,No,0.0,0
7.03,0,No,0.0,0
6.81,4,Yes,15.67,1
7.54,4,Yes,14.96,1
6.84,1,No,0.0,0
7.72,4,No,0.0,0
7.46,1,No,0.0,0
7.31,3,Yes,16.34,1
6.77,0,Yes,26.25,1
7.04,3,Yes,15.45,1
8.1,4,Yes,28.38,1
7.9,3,No,0.0,0
6.72,3,No,0.0,0
7.58,3,Yes,16.61,1
8.1,4,No,0.0,0
6.16,3,Yes,28.63,1
7.93,1,Yes,25.49,1
6.97,4,Yes,12.79,1
7.96,3,No,0.0,0
6.89,4,Yes,26.32,1
6.06,2,No,0.0,0
6.2,1,No,0.0,0
7.54,3,Yes,5.97,1
7.71,2,Yes,27.98,1
6.78,2,No,0.0,0
8.01,4,Yes,20.05,1
6.17,2,No,0.0,0
7.45,1,No,0.0,0
6.53,1,Yes,4.47,1
6.98,0,Yes,20.39,1
7.54,1,No,0.0,0
6.81,2,Yes,29.3,1
7.19,1,Yes,4.88,1
8.31,4,Yes,17.98,1
7.04,0,Yes,23.19,1
8.17,2,No,0.0,0
6.6,0,No,0.0,0
7.92,2,Yes,24.88,1
8.65,4,Yes,14.17,1
5.52,0,Yes,8.51,1
6.86,3,No,0.0,0
7.96,2,Yes,4.14,1
7.34,3,Yes,18.65,1
7.8,0,Yes,15.23,1
7.02,3,Yes,28.62,1
7.57,3,No,0.0,0
7.38,0,Yes,4.64,1
8.43,4,Yes,21.51,1
7.7,3,Yes,3.67,1
7.77,3,No,0.0,0
7.17,4,Yes,7.63,1
7.11,3,Yes,15.25,1
7.15,3,Yes,15.28,1
7.82,3,No,0.0,0
7.16,1,Yes,21.51,1
7.73,4,Yes,27.58,1
9.16,3,Yes,20.25,1
8.2,4,No,0.0,0
7.24,2,Yes,28.75,1
8.46,2,No,0.0,0
7.17,3,Yes,26.8,1
5.87,4,Yes,18.78,1
6.69,4,Yes,25.51,1
6.0,4,No,0.0,0
7.22,1,Yes,20.35,1
7.51,2,No,0.0,0
8.84,4,No,0.0,0
7.76,4,Yes,5.12,1
7.32,1,No,0.0,0
8.16,1,No,0.0,0
5.73,4,Yes,23.0,1
7.69,0,Yes,5.56,1
8.12,4,No,0.0,0
6.32,4,Yes,19.04,1
8.42,1,No,0.0,0
7.77,1,No,0.0,0
7.17,4,Yes,21.97,1
8.01,4,Yes,4.8,1
9.32,4,Yes,9.23,1
7.65,1,Yes,27.72,1
7.7,4,Yes,19.64,1
7.13,4,Yes,9.65,1
6.82,3,Yes,21.65,1
8.16,0,No,0.0,0
6.82,2,No,0.0,0
7.56,0,Yes,19.11,1
7.12,3,Yes,16.54,1
7.88,2,Yes,29.36,1
7.77,4,Yes,21.45,1
8.33,3,No,0.0,0
7.09,4,No,0.0,0
7.28,1,No,0.0,0
6.72,3,No,0.0,0
7.14,1,Yes,13.14,1
7.8,3,No,0.0,0
8.11,3,Yes,24.6,1
6.76,1,No,0.0,0
8.2,2,Yes,26.88,1
8.58,0,No,0.0,0
7.83,4,No,0.0,0
9.0,3,Yes,6.38,1
6.88,4,Yes,8.41,1
6.5,1,No,0.0,0
6.08,4,Yes,8.84,1
8.7,1,Yes,21.66,1
8.02,4,Yes,19.28,1
7.46,0,Yes,19.71,1
7.72,0,No,0.0,0
6.6,0,Yes,28.4,1
9.46,0,Yes,23.95,1
7.6,0,Yes,6.45,1
7.59,0,Yes,12.38,1
8.08,1,Yes,14.76,1
7.88,3,Yes,13.69,1
7.68,4,Yes,21.07,1
6.87,0,Yes,27.08,1
7.88,1,No,0.0,0
9.01,1,Yes,11.26,1
8.58,1,Yes,17.9,1
8.77,3,Yes,24.31,1
7.09,4,Yes,14.24,1
6.71,3,Yes,7.54,1
7.4,2,Yes,15.82,1
7.54,1,No,0.0,0
8.38,2,Yes,4.49,1
6.15,0,Yes,28.44,1
8.72,0,No,0.0,0
7.37,3,Yes,5.02,1
7.16,4,Yes,14.84,1
6.69,2,Yes,17.31,1
6.18,4,Yes,29.6,1
8.16,3,No,0.0,0
7.56,0,No,0.0,0
6.47,4,No,0.0,0
6.46,4,Yes,7.48,1
7.23,0,Yes,6.09,1
8.84,2,Yes,3.24,1
7.29,0,Yes,7.2,1
6.3,4,Yes,8.6,1
7.3,2,No,0.0,0
7.28,2,Yes,20.03,1
5.34,0,Yes,8.93,1
7.46,4,Yes,3.55,1
7.32,3,Yes,25.32,1
8.06,4,Yes,12.87,1
8.98,1,No,0.0,0
8.4,3,Yes,12.55,1
7.28,2,No,0.0,0
6.61,3,Yes,11.17,1
9.56,2,No,0.0,0
7.55,2,No,0.0,0
7.51,3,Yes,29.34,1
7.48,2,Yes,7.59,1
7.66,2,No,0.0,0
7.38,1,Yes,27.25,1
7.04,4,No,0.0,0
7.06,4,Yes,23.97,1
7.47,1,Yes,5.06,1
7.07,3,No,0.0,0
6.93,0,No,0.0,0
7.59,0,Yes,29.64,1
7.3,0,No,0.0,0
8.7,1,Yes,10.33,1
5.38,1,Yes,5.66,1
8.37,2,Yes,25.39,1
8.5,0,Yes,22.08,1
5.84,3,No,0.0,0
7.23,3,Yes,19.66,1
7.2,0,Yes,7.21,1
6.37,0,Yes,15.92,1
6.88,0,Yes,24.08,1
6.61,1,Yes,11.2,1
8.9,1,No,0.0,0
8.25,1,Yes,11.42,1
8.52,4,No,0.0,0
8.08,3,No,0.0,0
6.6,3,Yes,3.08,1
7.08,2,No,0.0,0
7.89,1,No,0.0,0
6.52,4,Yes,7.7,1
8.07,4,Yes,26.64,1
7.31,3,Yes,14.93,1
7.2,1,Yes,29.57,1
8.07,2,No,0.0,0
7.86,1,Yes,13.68,1
7.21,0,No,0.0,0
8.43,1,Yes,22.31,1
6.64,0,Yes,10.61,1
7.99,0,No,0.0,0
7.97,2,Yes,12.82,1
7.25,3,Yes,8.15,1
7.76,1,Yes,12.37,1
6.5,0,Yes,17.78,1
8.24,1,Yes,29.78,1
7.35,3,Yes,20.93,1
7.08,3,Yes,8.38,1
8.34,4,No,0.0,0
6.94,3,Yes,4.21,1
6.37,2,Yes,6.41,1
6.25,0,Yes,18.19,1
7.98,4,No,0.0,0
6.48,2,Yes,23.66,1
8.9,1,Yes,28.39,1
5.83,0,Yes,3.43,1
8.86,3,Yes,17.11,1
7.67,0,No,0.0,0
7.42,1,No,0.0,0
7.06,4,Yes,15.71,1
7.82,4,Yes,20.71,1
7.47,4,Yes,18.11,1
8.38,3,No,0.0,0
7.59,2,No,0.0,0
7.62,2,Yes,21.55,1
7.21,0,No,0.0,0
7.45,3,No,0.0,0
7.75,4,Yes,20.77,1
6.13,4,Yes,6.16,1
6.42,1,Yes,24.59,1
8.09,1,No,0.0,0
7.64,4,No,0.0,0
7.35,4,No,0.0,0
7.51,3,No,0.0,0
7.78,2,Yes,6.33,1
7.07,1,No,0.0,0
6.88,2,No,0.0,0
7.66,3,Yes,21.86,1
6.72,4,Yes,14.24,1
7.83,2,No,0.0,0
6.14,4,Yes,16.87,1
8.32,4,No,0.0,0
7.88,0,Yes,27.39,1
7.7,2,Yes,27.03,1
8.29,2,No,0.0,0
8.83,4,Yes,25.08,1
8.31,3,Yes,16.77,1
6.03,0,Yes,22.88,1
6.48,4,No,0.0,0
7.0,1,Yes,16.85,1
7.52,1,No,0.0,0
7.91,0,Yes,26.48,1
6.92,3,No,0.0,0
7.65,4,No,0.0,0
6.9,2,Yes,13.87,1
7.01,0,Yes,29.2,1
6.37,3,Yes,28.17,1
6.76,2,Yes,23.02,1
6.42,1,Yes,10.54,1
6.72,1,Yes,6.55,1
8.34,2,Yes,26.08,1
6.74,0,Yes,7.46,1
9.61,1,Yes,26.07,1
7.89,4,Yes,16.25,1
7.65,2,No,0.0,0
6.81,2,Yes,13.98,1
8.06,1,Yes,27.39,1
7.04,0,Yes,19.3,1
7.6,4,No,0.0,0
9.55,0,No,0.0,0
7.42,3,No,0.0,0
8.42,3,No,0.0,0
6.94,1,Yes,18.57,1
7.47,1,No,0.0,0
8.92,1,No,0.0,0
7.0,3,Yes,18.09,1
8.95,0,No,0.0,0
8.07,0,Yes,13.02,1
7.05,1,Yes,24.21,1
8.01,4,Yes,9.83,1
8.28,0,Yes,28.35,1
8.0,3,No,0.0,0
6.24,2,Yes,27.14,1
6.92,2,Yes,12.11,1
7.3,2,Yes,22.7,1
7.44,4,No,0.0,0
8.0,1,Yes,18.48,1
7.64,3,Yes,12.12,1
6.43,4,No,0.0,0
7.8,3,No,0.0,0
7.99,3,Yes,29.69,1
7.95,1,No,0.0,0
8.36,2,No,0.0,0
8.17,1,No,0.0,0
7.87,4,Yes,3.68,1
7.44,4,Yes,9.82,1
6.17,4,Yes,17.04,1
7.84,1,Yes,17.09,1
7.67,3,Yes,18.9,1
7.72,3,Yes,23.3,1
6.48,0,Yes,19.83,1
6.64,4,Yes,19.21,1
8.34,3,Yes,4.44,1
7.47,0,No,0.0,0
8.05,3,Yes,13.17,1
7.52,4,Yes,9.27,1
7.52,2,No,0.0,0
8.25,4,Yes,10.16,1
7.09,1,No,0.0,0
7.58,3,No,0.0,0
7.13,3,Yes,17.97,1
7.15,1,No,0.0,0
7.25,1,Yes,8.39,1
7.68,2,Yes,10.94,1
7.12,3,Yes,9.4,1
8.5,3,Yes,28.61,1
6.78,2,No,0.0,0
7.35,0,Yes,28.51,1
7.15,2,Yes,19.47,1
8.66,4,Yes,27.96,1
7.66,3,Yes,24.22,1
8.33,1,Yes,18.93,1
6.31,4,Yes,3.17,1
7.71,3,No,0.0,0
8.21,2,Yes,23.86,1
7.57,4,Yes,21.97,1
8.35,3,Yes,19.61,1
7.09,0,Yes,23.53,1
8.63,0,No,0.0,0
9.34,1,Yes,16.85,1
7.21,3,Yes,22.01,1
7.14,0,Yes,28.25,1
8.66,2,No,0.0,0
8.76,3,Yes,13.15,1
7.08,2,Yes,22.12,1
7.16,2,No,0.0,0
7.27,0,Yes,15.84,1
6.42,3,No,0.0,0
6.77,4,No,0.0,0
6.7,0,Yes,21.21,1
6.89,0,Yes,23.6,1
7.47,3,Yes,4.23,1
7.69,3,Yes,20.46,1
8.74,2,No,0.0,0
6.7,3,Yes,9.12,1
8.29,2,Yes,21.09,1
7.33,0,No,0.0,0
7.46,1,Yes,15.64,1
8.04,4,Yes,23.89,1
6.6,0,Yes,6.33,1
7.81,3,Yes,19.91,1
7.63,4,No,0.0,0
7.89,1,Yes,10.52,1
7.73,1,Yes,26.03,1
9.46,2,Yes,28.07,1
6.99,4,Yes,29.9,1
7.08,2,Yes,24.49,1
7.0,0,Yes,23.35,1
7.06,4,Yes,8.82,1
6.99,0,No,0.0,0
8.45,2,Yes,12.07,1
8.64,4,Yes,15.57,1
7.04,2,Yes,23.88,1
6.83,4,No,0.0,0
7.88,2,No,0.0,0
7.06,1,Yes,27.7,1
8.01,2,No,0.0,0
7.66,1,Yes,8.11,1
6.29,2,Yes,27.9,1
8.74,4,Yes,21.78,1
8.94,4,Yes,19.49,1
7.01,4,No,0.0,0
7.19,3,Yes,8.4,1
7.73,0,Yes,4.5,1
7.77,4,No,0.0,0
8.03,1,Yes,18.35,1
9.11,4,Yes,20.59,1
7.36,3,Yes,8.69,1
6.86,1,Yes,18.02,1
6.4,3,Yes,26.13,1
6.92,1,Yes,25.55,1
7.47,2,Yes,28.04,1
8.94,0,Yes,12.88,1
7.09,0,No,0.0,0
7.68,3,Yes,11.59,1
7.49,0,Yes,23.23,1
8.45,3,Yes,14.64,1
9.52,3,Yes,5.36,1
7.08,3,Yes,10.64,1
7.11,0,Yes,14.3,1
8.34,3,Yes,10.9,1
8.05,0,No,0.0,0
8.98,3,Yes,11.97,1
7.97,4,No,0.0,0
7.21,3,Yes,10.93,1
7.97,1,No,0.0,0
8.39,3,Yes,4.12,1
8.16,2,No,0.0,0
7.91,3,Yes,20.2,1
8.35,1,Yes,19.13,1
8.44,1,Yes,20.64,1
8.61,0,No,0.0,0
8.02,4,Yes,8.19,1
7.37,3,Yes,10.98,1
7.62,0,Yes,19.73,1
8.47,4,Yes,19.19,1
6.85,3,Yes,16.67,1
7.79,2,Yes,12.46,1
7.19,3,No,0.0,0
7.52,1,No,0.0,0
8.52,1,No,0.0,0
7.65,2,Yes,27.65,1
7.54,0,No,0.0,0
6.41,4,No,0.0,0
